player_id,player_name,nationality,position,preferred_foot,date_of_birth,birth_year,height_cm,height_category,market_value_eur,market_value_million
743597,Matheus França,Brazil,Attacking Midfield,right,2004-04-01,2004.0,184.0,Tall,15000000.0,15.0
601883,Matheus Nunes,Portugal; Brazil,Central Midfield,right,1998-08-27,1998.0,183.0,Tall,40000000.0,40.0
225984,Matheus Pereira,Brazil; Portugal,Attacking Midfield,left,1996-05-05,1996.0,175.0,Average,15000000.0,15.0
37356,Mathew Birley,England,Right Midfield,right,1986-07-26,1986.0,178.0,Average,50000.0,0.05
128969,Mathew Ryan,Australia; Scotland,Goalkeeper,right,1992-04-08,1992.0,184.0,Tall,6000000.0,6.0
319859,Mathias Jensen,Denmark,Central Midfield,right,1996-01-01,1996.0,180.0,Average,28000000.0,28.0
257805,Mathias Normann,Norway,Defensive Midfield,right,1996-05-28,1996.0,179.0,Average,10000000.0,10.0
46477,Mathias Ranégie,Sweden,Centre-Forward,right,1984-06-14,1984.0,196.0,Very Tall,400000.0,0.4
3861,Mathias Svensson,Sweden,Centre-Forward,right,1974-09-24,1974.0,186.0,Tall,1000000.0,1.0
5508,Mathieu Berson,France,Defensive Midfield,left,1980-02-23,1980.0,180.0,Average,3500000.0,3.5
27306,Mathieu Debuchy,France,Right-Back,right,1985-07-28,1985.0,177.0,Average,4500000.0,4.5
17396,Mathieu Flamini,France,Defensive Midfield,right,1984-03-07,1984.0,178.0,Average,2000000.0,2.0
3902,Mathieu Louis-Jean,France,Right-Back,right,1976-02-22,1976.0,175.0,Average,,
143559,Matija Nastasic,Serbia,Centre-Back,left,1993-03-28,1993.0,188.0,Tall,13000000.0,13.0
293257,Matija Sarkic,Montenegro; England,Goalkeeper,right,1997-07-23,1997.0,,Unknown,2000000.0,2.0
190831,Mats Møller Dæhli,Norway,Attacking Midfield,right,1995-03-02,1995.0,172.0,Average,1500000.0,1.5
415381,Mats Wieffer,Netherlands,Defensive Midfield,right,1999-11-16,1999.0,188.0,Tall,30000000.0,30.0
175974,Matt Brazier,England,Central Midfield,,1976-07-02,1976.0,,Unknown,,
391132,Matt Butcher,England,Defensive Midfield,left,1997-05-14,1997.0,188.0,Tall,75000.0,0.075
43138,Matt Carbon,England,Centre-Back,,1975-06-08,1975.0,188.0,Tall,,
13781,Matt Clarke,England,Goalkeeper,right,1973-11-03,1973.0,191.0,Very Tall,,
307497,Matt Clarke,England,Centre-Back,left,1996-09-22,1996.0,185.0,Tall,3000000.0,3.0
813533,Matt Collins,England,Midfielder,,1982-02-10,1982.0,,Unknown,,
15175,Matt Derbyshire,England,Centre-Forward,right,1986-04-14,1986.0,180.0,Average,3500000.0,3.5
817611,Matt Dibley-Dias,New Zealand; Brazil,Central Midfield,right,2003-10-29,2003.0,183.0,Tall,500000.0,0.5
226875,Matt Dickins,England,Goalkeeper,,1970-09-03,1970.0,193.0,Very Tall,,
171679,Matt Doherty,Ireland,Right-Back,right,1992-01-16,1992.0,185.0,Tall,3000000.0,3.0
36885,Matt Duke,England,Goalkeeper,right,1977-07-16,1977.0,195.0,Very Tall,750000.0,0.75
107793,Matt Elliott,Scotland; England,Centre-Back,,1968-11-01,1968.0,,Unknown,,
48254,Matt Gilks,Scotland; England,Goalkeeper,right,1982-06-04,1982.0,185.0,Tall,500000.0,0.5
77546,Matt Gill,England,Defensive Midfield,right,1980-11-08,1980.0,180.0,Average,175000.0,0.175
265471,Matt Grimes,England,Defensive Midfield,left,1995-07-15,1995.0,178.0,Average,1000000.0,1.0
13409,Matt Hamshaw,England,Right Midfield,right,1982-01-01,1982.0,178.0,Average,,
9214,Matt Heath,England,Centre-Back,right,1981-11-01,1981.0,193.0,Very Tall,,
20969,Matt Hill,England,Left-Back,left,1981-03-26,1981.0,170.0,Average,750000.0,0.75
3102,Matt Holland,Ireland; England,Central Midfield,right,1974-04-11,1974.0,175.0,Average,3100000.0,3.1
13519,Matt Jackson,England,Centre-Back,right,1971-10-19,1971.0,185.0,Tall,400000.0,0.4
10502,Matt Jansen,England,Centre-Forward,right,1977-10-20,1977.0,180.0,Average,1500000.0,1.5
15921,Matt Jarvis,England,Left Winger,,1986-05-22,1986.0,173.0,Average,3000000.0,3.0
4252,Matt Jones,Wales,Central Midfield,right,1980-09-01,1980.0,180.0,Average,,
13590,Matt Lawrence,England,Centre-Back,right,1974-06-19,1974.0,185.0,Tall,,
43705,Matt Le Tissier,England; Guernsey,Attacking Midfield,right,1968-10-14,1968.0,185.0,Tall,,
220491,Matt Macey,England,Goalkeeper,right,1994-09-09,1994.0,200.0,Very Tall,300000.0,0.3
43168,Matt McKay,Australia,Central Midfield,left,1983-01-11,1983.0,171.0,Average,,
245893,Matt Miazga,United States; Poland,Centre-Back,right,1995-07-19,1995.0,193.0,Very Tall,3000000.0,3.0
25384,Matt Mills,England,Centre-Back,right,1986-07-14,1986.0,191.0,Very Tall,400000.0,0.4
4234,Matt Murray,England,Goalkeeper,,1981-05-02,1981.0,193.0,Very Tall,500000.0,0.5
406634,Matt O'Riley,Denmark; England,Central Midfield,left,2000-11-21,2000.0,189.0,Tall,20000000.0,20.0
3784,Matt Oakley,England,Defensive Midfield,right,1977-08-17,1977.0,177.0,Average,1000000.0,1.0
158263,Matt Parsons,England,Left-Back,left,1991-12-25,1991.0,178.0,Average,250000.0,0.25
77274,Matt Phillips,Scotland; England,Right Winger,right,1991-03-13,1991.0,183.0,Tall,4000000.0,4.0
4134,Matt Piper,England,Right Midfield,right,1981-09-29,1981.0,185.0,Tall,2800000.0,2.8
92469,Matt Ritchie,Scotland; England,Right Midfield,left,1989-09-10,1989.0,173.0,Average,1000000.0,1.0
